"algorithm","numCities","processingTime","bestDistanceFound","tspInstance"
      blind,         58,               3,             111556,     brazil58
     greedy,         58,              63,              29139,     brazil58
    genetic,         58,           67710,              42801,     brazil58
      blind,        101,              10,               2355,       eil101
     greedy,        101,             212,                774,       eil101
    genetic,        101,          222725,               1010,       eil101
      blind,        262,              94,              15892,       gil262
     greedy,        262,            2855,               2904,       gil262
    genetic,        262,         1562846,              13833,       gil262
      blind,         58,               5,              83005,     brazil58
     greedy,         58,              79,              29139,     brazil58
    genetic,         58,           88346,              34411,     brazil58
      blind,        101,              16,               2196,       eil101
     greedy,        101,             262,                774,       eil101
    genetic,        101,          244384,               1097,       eil101
      blind,        262,              92,              16209,       gil262
     greedy,        262,            2920,               2904,       gil262
    genetic,        262,         1539445,              13663,       gil262
      blind,         58,               4,              77277,     brazil58
     greedy,         58,              81,              29139,     brazil58
    genetic,         58,           89983,              34801,     brazil58
      blind,        101,              12,               2270,       eil101
      greedy,       101,             271,                774,       eil101
     genetic,       101,          247502,               1117,       eil101
       blind,       262,              88,              17069,       gil262
      greedy,       262,            2921,               2904,       gil262
     genetic,       262,         1561181,              13553,       gil262
       blind,        58,               5,              73092,     brazil58
      greedy,        58,              81,              29139,     brazil58
     genetic,        58,           90036,              33798,     brazil58
       blind,       101,              14,               2085,       eil101
      greedy,       101,             267,                774,       eil101
     genetic,       101,          248421,                992,       eil101
       blind,       262,              95,              18114,       gil262
      greedy,       262,            3057,               2904,       gil262
     genetic,       262,         1558485,              13610,       gil262
       blind,        58,               5,              75188,     brazil58
      greedy,        58,              83,              29139,     brazil58
     genetic,        58,           91924,              34601,     brazil58
       blind,       101,              14,               1941,       eil101
      greedy,       101,             269,                774,       eil101
     genetic,       101,          247541,               1018,       eil101
       blind,       262,              95,              16971,       gil262
      greedy,       262,            2938,               2904,       gil262
     genetic,       262,         1545560,              13017,       gil262
